dataset,rule,precision,recall,f1,f1_std,threshold,caps_left,caps_right
DBLP-ACM,default cut 0.50,0.9874,0.9847,0.986,0.0027,0.5,1,1
DBLP-ACM,tuned cut,0.9861,0.9861,0.9861,0.0032,0.432,1,1
DBLP-ACM,tuned cut + degree cap (fitted per fold),0.9954,0.9843,0.9898,0.0041,0.432,1,1
DBLP-ACM,tuned cut + strict 1:1 (greedy),0.9954,0.9843,0.9898,0.0041,0.432,1,1
DBLP-ACM,tuned cut + strict 1:1 (hungarian),0.9955,0.9843,0.9898,0.0046,0.432,1,1
Amazon-GoogleProducts,default cut 0.50,0.6588,0.5148,0.5777,0.0205,0.5,5,2
Amazon-GoogleProducts,tuned cut,0.535,0.7186,0.6082,0.0255,0.25,5,2
Amazon-GoogleProducts,tuned cut + degree cap (fitted per fold),0.5467,0.7005,0.6106,0.0236,0.25,5,2
Amazon-GoogleProducts,tuned cut + strict 1:1 (greedy),0.7209,0.5376,0.6147,0.0204,0.25,5,2
Amazon-GoogleProducts,tuned cut + strict 1:1 (hungarian),0.7176,0.5369,0.6131,0.0198,0.25,5,2
