dataset,regime,matcher,precision,recall_in_candidates,f1_in_candidates,f1_std,recall_end_to_end,f1_end_to_end
DBLP-ACM,pair level (random),threshold rule,0.8749,0.9779,0.9235,0.0091,0.9779,0.9235
DBLP-ACM,pair level (random),fellegi-sunter (unsupervised),0.6194,0.9991,0.7646,0.0102,0.9991,0.7646
DBLP-ACM,pair level (random),logistic regression,0.9426,0.9973,0.9692,0.0018,0.9973,0.9692
DBLP-ACM,pair level (random),gradient boosting,0.9897,0.9857,0.9876,0.0044,0.9857,0.9876
DBLP-ACM,entity level (by record),threshold rule,0.8761,0.9766,0.9235,0.0105,0.9766,0.9235
DBLP-ACM,entity level (by record),fellegi-sunter (unsupervised),0.619,0.9991,0.7643,0.0133,0.9991,0.7643
DBLP-ACM,entity level (by record),logistic regression,0.9443,0.9977,0.9703,0.0054,0.9977,0.9703
DBLP-ACM,entity level (by record),gradient boosting,0.9874,0.9847,0.986,0.0027,0.9847,0.986
Amazon-GoogleProducts,pair level (random),threshold rule,0.4752,0.5794,0.5215,0.0403,0.5794,0.5215
Amazon-GoogleProducts,pair level (random),fellegi-sunter (unsupervised),0.3118,0.7973,0.448,0.0245,0.7973,0.448
Amazon-GoogleProducts,pair level (random),logistic regression,0.2867,0.9029,0.4349,0.0262,0.9029,0.4349
Amazon-GoogleProducts,pair level (random),gradient boosting,0.6775,0.5134,0.584,0.0127,0.5134,0.584
Amazon-GoogleProducts,entity level (by record),threshold rule,0.4768,0.5794,0.5221,0.0276,0.5732,0.5196
Amazon-GoogleProducts,entity level (by record),fellegi-sunter (unsupervised),0.3122,0.7977,0.4484,0.0124,0.789,0.447
Amazon-GoogleProducts,entity level (by record),logistic regression,0.2868,0.9035,0.435,0.0153,0.8937,0.4339
Amazon-GoogleProducts,entity level (by record),gradient boosting,0.6588,0.5204,0.5811,0.0196,0.5148,0.5776
